Name,Country,lat,lon
Hamburg,DE,53.550,10.001
Berlin,DE,52.517,13.389
Köln,DE,50.938,6.960
Frankfurt,DE,50.121,8.682
München,DE,48.137,11.575
Brüssel,BE,50.847,4.352
Antwerpen,BE,51.221,4.400
Luxemburg,LU,49.611,6.130
Amsterdam,NL,52.375,4.898
Rotterdam,NL,51.928,4.489
Paris,FR,48.857,2.351
Straßburg,FR,48.585,7.751
Bordeaux,FR,44,841,-5,800
Montpellier,FR,43,611,3,877
Marseille,FR,43,296,5,370
Nice,FR,43,701,7,268
Lyon,FR,45,758,4,832
